name,latitude,longitude,Blok br,time,tip kontejnera,tip otpada
kont32,44.806892,20.428777,19a,9/12/2021 11:51,standard,mesani
kont31,44.806897,20.428806,19a,9/12/2021 11:51,standard,mesani
zvono 5,44.807018,20.429101,19a,9/12/2021 11:50,standard,staklo
kont30,44.807036,20.429098,19a,9/12/2021 11:50,jumbo,mesani
kont29,44.807051,20.429092,19a,9/12/2021 11:50,jumbo,mesani
kont28,44.80466,20.430235,19a,9/12/2021 11:38,standard,papir
kont27,44.804665,20.430263,19a,9/12/2021 11:38,standard,plastika
zvono 4,44.804677,20.430295,19a,9/12/2021 11:38,standard,staklo
kont26,44.804595,20.428912,19a,9/12/2021 11:35,jumbo,mesani
kont25,44.804599,20.428885,19a,9/12/2021 11:35,jumbo,mesani
kont24,44.804605,20.428859,19a,9/12/2021 11:35,jumbo,mesani
kont23,44.80616,20.427373,19a,9/11/2021 11:33,jumbo,mesani
kont22,44.806183,20.427394,19a,9/11/2021 11:33,jumbo,mesani
kont21,44.806787,20.42595,23,9/12/2021 11:31,standard,mesani
kont20,44.806589,20.426377,23,9/12/2021 11:31,standard,mesani
kont19,44.807173,20.427445,23,9/12/2021 11:29,standard,mesani
kont18,44.808243,20.428124,23,9/12/2021 11:28,standard,mesani
kont17,44.808497,20.427589,23,9/12/2021 11:28,standard,mesani
kont16,44.809114,20.426207,23,9/12/2021 11:27,standard,mesani
kont15,44.809834,20.42485,23,9/12/2021 11:26,jumbo,mesani
kont 14,44.809848,20.424828,23,9/12/2021 11:26,jumbo,mesani
zvono 3,44.809889,20.424869,23,9/12/2021 11:26,standard,staklo
kont13,44.809897,20.421532,23,9/12/2021 11:21,standard,papir
kont12,44.809883,20.421519,23,9/12/2021 11:21,standard,plastika
kont11,44.809868,20.421507,23,9/12/2021 11:21,standard,metal
kont10,44.809463,20.421318,23,9/12/2021 11:20,standard,mesani
kont9,44.80912,20.421011,23,9/12/2021 11:19,standard,mesani
kont8,44.808232,20.420571,23,9/12/2021 11:17,standard,mesani
kont7,44.807931,20.421227,23,9/12/2021 11:17,standard,mesani
kont6,44.807713,20.421681,23,9/12/2021 11:16,standard,mesani
zvono 2,44.80709,20.422987,23,9/12/2021 11:14,standard,staklo
kont 5,44.807119,20.422971,23,9/12/2021 11:14,jumbo,mesani
kont4,44.807106,20.422996,23,9/12/2021 11:14,jumbo,mesani
zvono 1,44.80644,20.424395,23,9/12/2021 11:12,standard,staklo
kont3,44.806456,20.424408,23,9/12/2021 11:12,standard,mesani
kont2,44.806447,20.424439,23,9/12/2021 11:12,standard,mesani
kont1,44.805868,20.425684,23,9/12/2021 11:10,standard,mesani
